model,parameter,estimate,CI95_lo,CI95_hi
competitive,vmax_mM_per_s,0.0002551386309064415,0.0002513308489160928,0.00025806044689211224
competitive,vmax_mM_per_min,0.015308317854386489,0.015079850934965569,0.015483626813526734
competitive,Km_mM,0.4558103751103894,0.4415191837343493,0.4839915713929125
competitive,Ki_mM,1.2107340471569248,1.178730638147542,1.2780391301522502
competitive,kcat_per_s,15.308317854386488,15.079850934965568,15.483626813526733
uncompetitive,vmax_mM_per_s,0.0004152844349323168,0.000408052536198028,0.0004222092826695078
uncompetitive,vmax_mM_per_min,0.02491706609593901,0.02448315217188168,0.02533255696017047
uncompetitive,Km_mM,2.869245788592235,2.671144996196066,3.0520525566158705
uncompetitive,Ki_prime_mM,2.6516617488459984,2.6036422094782807,2.730806091511369
uncompetitive,kcat_per_s,24.917066095939006,24.483152171881677,25.332556960170468
mixed,vmax_mM_per_s,0.00029354866089880343,0.000287803539512347,0.0002969091707503788
mixed,vmax_mM_per_min,0.017612919653928204,0.01726821237074082,0.017814550245022726
mixed,Km_mM,0.6257929737739705,0.5907453586061899,0.657269811388975
mixed,Ki_mM,1.7242585659868488,1.632056328701294,1.824468770161596
mixed,Ki_prime_mM,16.036267953580527,14.94995579029521,17.95281588411474
mixed,kcat_per_s,17.612919653928206,17.268212370740823,17.814550245022723
