condition,final_S_mM,recomputed_v_mM_per_s,recomputed_v_mM_per_min,legacy_v_mM_per_s,legacy_v_mM_per_min,delta_v_mM_per_s,delta_v_mM_per_min,relative_delta_v_pct,recomputed_sd_mM_per_s,recomputed_sd_mM_per_min,legacy_sd_mM_per_s,legacy_sd_mM_per_min
0 mM inhibitor,10.0,0.0002537813939973574,0.015226883639841442,0.0002504966667,0.015029800002,3.284727297357367e-06,0.00019708363784144201,1.3112858309173527,4.871195291432609e-06,0.0002922717174859566,2.43e-06,0.0001458
0 mM inhibitor,7.5,0.000270198204246322,0.016211892254779318,0.0002606233333,0.015637399998,9.574870946321994e-06,0.0005744922567793196,3.6738348884903904,4.705518805392523e-06,0.00028233112832355136,5.92e-06,0.0003552
0 mM inhibitor,5.0,0.0002800310228616855,0.01680186137170113,0.0002757,0.016541999999999998,4.331022861685523e-06,0.00025986137170113137,1.570918702098485,7.1314470551431165e-06,0.000427886823308587,3.26e-06,0.0001956
0 mM inhibitor,3.75,0.0002776798099326163,0.016660788595956978,0.0002732866667,0.016397200001999998,4.3931432326163025e-06,0.00026358859395697815,1.6075219789038844,3.6282267609296084e-06,0.0002176936056557765,1.66e-06,9.96e-05
0 mM inhibitor,2.5,0.00026488025034375815,0.01589281502062549,0.0002605633333,0.015633799998000002,4.316917043758128e-06,0.00025901502262548766,1.6567630560620126,5.788234328687482e-06,0.00034729405972124894,2.67e-06,0.0001602
0 mM inhibitor,2.0,0.00024018842099210553,0.014411305259526332,0.0002362333333,0.014173999998,3.955087692105515e-06,0.0002373052615263309,1.6742293040765872,2.2878909079480547e-05,0.001372734544768833,1.06e-05,0.0006360000000000001
0 mM inhibitor,1.25,0.00020662241887904362,0.012397345132742618,0.00020318,0.0121908,3.442418879043632e-06,0.00020654513274261793,1.694270537968123,1.5448688373137407e-05,0.0009269213023882445,7.17e-06,0.0004302
0 mM inhibitor,0.625,0.0001344925055618468,0.008069550333710809,0.0001322466667,0.007934800002000001,2.2458388618467966e-06,0.0001347503317108078,1.6982196359938926,6.90732611274437e-06,0.0004144395667646622,3.22e-06,0.0001932
0 mM inhibitor,0.125,5.183162936608091e-05,0.0031098977619648544,5.09e-05,0.003054,9.316293660809134e-07,5.58977619648548e-05,1.830313096426156,1.339595931386454e-06,8.037575588318723e-05,6.2e-07,3.7199999999999996e-05
0 mM inhibitor,0.0,9.75020239658325e-08,5.85012143794995e-06,9.33e-08,5.598e-06,4.202023965832499e-09,2.521214379499499e-07,4.503777026615754,9.825477170494038e-08,5.895286302296423e-06,4.48e-08,2.688e-06
